Image Id,Cassava Bacterial Blight (CBB),Cassava Brown Streak Disease (CBSD),Cassava Green Mottle (CGM),Cassava Mosaic Disease (CMD),Healthy
1000015157.jpg,0.22916999459266663,0.19032536447048187,0.1823022961616516,0.1824793815612793,0.21572305262088776
1000015157.jpg,0.22958427667617798,0.1901126354932785,0.18161393702030182,0.1822226643562317,0.21646647155284882
1000015157.jpg,0.2265888899564743,0.19214801490306854,0.18670648336410522,0.18349887430667877,0.2110576629638672
1000015157.jpg,0.22675380110740662,0.19198347628116608,0.18641626834869385,0.18350443243980408,0.211341992020607
1000015157.jpg,0.23000437021255493,0.18976372480392456,0.18087294697761536,0.18207119405269623,0.2172878235578537
1000015157.jpg,0.2311827391386032,0.1889546662569046,0.17890717089176178,0.18156807124614716,0.21938735246658325
1000015157.jpg,0.23053079843521118,0.1894436478614807,0.1800382435321808,0.18185141682624817,0.21813587844371796
1000015157.jpg,0.22884245216846466,0.19058860838413239,0.18287895619869232,0.18260876834392548,0.21508120000362396
1000015157.jpg,0.2277054339647293,0.19135256111621857,0.18480443954467773,0.1830906718969345,0.21304693818092346
1000015157.jpg,0.22866855561733246,0.190744087100029,0.1832009255886078,0.18265146017074585,0.2147350013256073
1000015157.jpg,0.2282426804304123,0.19101698696613312,0.18388330936431885,0.1828165054321289,0.2140403836965561
1000015157.jpg,0.22947175800800323,0.19014400243759155,0.18179598450660706,0.18232664465904236,0.21626156568527222
1000015157.jpg,0.2294815480709076,0.19016754627227783,0.18185491859912872,0.18236684799194336,0.21612907946109772
1000015157.jpg,0.2297534942626953,0.18998675048351288,0.18133652210235596,0.18216665089130402,0.21675658226013184
1000015157.jpg,0.22964820265769958,0.19003738462924957,0.18149077892303467,0.18221881985664368,0.21660470962524414
1000015157.jpg,0.22836516797542572,0.19089272618293762,0.18369610607624054,0.18283279240131378,0.21421316266059875
1000015157.jpg,0.23114517331123352,0.18898960947990417,0.17897231876850128,0.1815715879201889,0.21932122111320496
1000015157.jpg,0.22892898321151733,0.19056177139282227,0.18275466561317444,0.18254254758358002,0.21521198749542236
1000015157.jpg,0.22798289358615875,0.19116812944412231,0.18429426848888397,0.18292099237442017,0.2136336863040924
1000015157.jpg,0.2299317717552185,0.18982718884944916,0.1810223013162613,0.18213318288326263,0.2170855551958084
1000015157.jpg,0.2257157862186432,0.19273585081100464,0.18821820616722107,0.1838800013065338,0.2094501554965973
1000015157.jpg,0.230005145072937,0.18975937366485596,0.18086086213588715,0.1820860356092453,0.2172885686159134
1000015157.jpg,0.23010876774787903,0.18973596394062042,0.18076150119304657,0.1820361614227295,0.21735765039920807
1000015157.jpg,0.23069347441196442,0.18927352130413055,0.17969796061515808,0.1817823201417923,0.21855273842811584
1000015157.jpg,0.2318602353334427,0.18846842646598816,0.17774604260921478,0.1812492311000824,0.22067612409591675
1000015157.jpg,0.2306799739599228,0.1892949789762497,0.17977972328662872,0.18183955550193787,0.21840576827526093
1000015157.jpg,0.2309664785861969,0.18911203742027283,0.17928777635097504,0.181678906083107,0.21895481646060944
1000015157.jpg,0.22912657260894775,0.19038596749305725,0.18240615725517273,0.18249189853668213,0.21558938920497894
1000015157.jpg,0.23033039271831512,0.18956878781318665,0.1803514063358307,0.18192878365516663,0.2178206592798233
